City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
387,bayanaul,50.7889,75.6956,22.28,51,100,7.25,KZ,1717649739
388,olyokminsk,60.3736,120.4264,22.06,24,100,5.13,RU,1717649739
389,kokopo,-4.352,152.2633,28.98,72,76,4.48,PG,1717649740
390,pudozh,61.8099,36.5345,19.58,61,99,2.04,RU,1717649740
391,ilhabela,-23.7781,-45.3581,19.58,89,29,2.51,BR,1717649740
392,selfoss,63.9331,-20.9971,4.47,58,100,3.51,IS,1717649740
393,teshi old town,5.5836,-0.1072,27.31,89,75,3.09,GH,1717649740
394,terrace,54.5163,-128.6035,9.95,76,100,7.72,CA,1717649740
395,kavieng,-2.5744,150.7967,29.11,73,27,2.39,PG,1717649741
396,forster,-32.1667,152.5167,16.83,89,43,3.74,AU,1717649741
397,hammerfest,70.6634,23.6821,17.25,42,0,4.12,NO,1717649741
398,kalispell,48.1958,-114.3129,14.02,64,0,1.54,US,1717649710
399,craig,40.5153,-107.5464,19.79,45,0,3.6,US,1717649741
400,freetown,8.484,-13.2299,26.67,86,98,2.32,SL,1717649741
401,dzhankoy,45.7167,34.4,24.45,54,87,3.85,UA,1717649741
402,galle,6.0367,80.217,28.6,78,79,4.68,LK,1717649694
403,el bauga,18.262,33.9081,36.2,25,0,9.54,SD,1717649742
404,ceske budejovice,48.9745,14.4743,16.56,95,61,1.34,CZ,1717649742
405,flin flon,54.7682,-101.865,3.17,94,100,5.46,CA,1717649742
406,lianzhou,24.7811,112.3825,26.02,73,96,1.16,CN,1717649742
